Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500002,ABB India Limited,ABB,ABB India Limited,Active,A ,2,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
500003,Aegis Logistics Ltd.,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1,INE208C01025,Trading - Gas,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
500004,Torrent Power AEC Limited,TPAEC,TORRENT POWER AEC LTD.,Delisted,B ,10,INE424A01014, ,Equity,-,-,-,-
500005,"Akar Laminators Ltd.,",AKARLAMIN,AKAR LAMINATORS LTD.,Delisted,XD,10,INE984C01013, ,Equity,-,-,-,-
500006,Alpha Drugs India Ltd,ALPHADR,ALPHA DRUG INDIA LTD.,Delisted,B ,10,INE256B01026, ,Equity,-,-,-,-
500008,Amara Raja Batteries Ltd,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1,INE885A01032,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500009,"Ambalal Sarabhai Enterprise Ltd.,",AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.,Active,XT,10,INE432A01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
500010,Housing Development Finance Corp.Lt,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Suspended,A ,2,INE001A01036,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
500011,Amrut Industries Ltd,AMRTMIL-BDM,AMRUT INDUSTRIES LTD.,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
500012,"Andhra Petrochemicals Ltd.,",ANDHRAPET,ANDHRA PETROCHEMICALS LTD.,Active,X ,10,INE714B01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
500013,Ansal Properties & Infrastructure Ltd.,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Suspended,T ,5,INE436A01026,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
500014,UTIQUE ENTERPRISES LIMITED,UTIQUE,Utique Enterprises Ltd,Active,X ,10,INE096A01010,Precious Metals,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Precious Metals
500015,ICICI Ltd.,ICICIDM,ICICI LTD.,Delisted,B ,10,INE005A01011, ,Equity,-,-,-,-
500016,Aruna Hotels Ltd.,ARUNAHTEL,ARUNA HOTELS LTD.,Active,X ,10,INE957C01019,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500018,Arvind Polycot Limited,ARPOLDM,ARPOLDM,Delisted,B ,10,INE035A01018, ,Equity,-,-,-,-
500019,Bank Of Rajasthan Ltd.,BOR,BANK OF RAJASTHAN LTD.,Delisted,B ,10,INE320A01014, ,Equity,-,-,-,-
500020,"Bombay Dyeing & Mfg. Co. Ltd.,",BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2,INE032A01023,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
500021,Asian Coffee Ltd,ASINCOF,ASINCOF,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
500023,Asian Hotels (North) Limited,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10,INE363A01022,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
500024,Assam Company (India) Limited,ASSAMCO,Assam Company (India) Limited,Delisted,T ,1,INE442A01024, ,Equity,-,-,-,-
500025,"Assambrook Limited,",ASSAMBR,ASSAMBROOK LTD.-$,Delisted,X ,10,INE353C01011, ,Equity,-,-,-,-
500026,Atash Industries Ltd,ATSHIND,ATASH INDUSTRIES LTD.,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
500027,"Atul Limited.,",ATUL,ATUL LTD.,Active,A ,10,INE100A01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500028,ATV Projects India Ltd,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10,INE447A01015,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products
500029,"Autolite (India) Ltd.,",AUTOLITIND,AUTOLITE (INDIA) LTD.,Suspended,Z ,10,INE448A01013,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500030,"Autoriders Finance Ltd.,",AUTORIDFIN,AUTORIDERS FINANCE LTD.,Suspended,Z ,10,INE450A01019, ,Equity,-,-,-,-
500031,"Bajaj Electricals Ltd.,",BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2,INE193E01025,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A ,1,INE306A01021,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500033,Force Motors Limited,FORCEMOT,FORCE MOTORS LTD.-$,Active,B ,10,INE451A01017,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Limited,Active,A ,2,INE296A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
500035,Balaji Distilleries Ltd.,BALAJIDI,BALAJI DISTILLERIES LTD.,Delisted,T ,10,INE453A01013, ,Equity,-,-,-,-
500036,"Balaji Industrial Corporation Ltd.,",BALAJIIND,BALAJI INDUSTRIAL CORPORATION LTD.,Delisted,X ,10,INE455A01018, ,Equity,-,-,-,-
500037,Balmer Lawrie Freight Containers Lt,BALMERL-B,BALMER LAWRIE FREIGHT CONTAINERS LTD.,Delisted,P ,10,-, ,Equity,-,-,-,-
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1,INE119A01028,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500039,"Banco Products (India) Ltd.,",BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500040,"Century Textiles & Industries Ltd.,",CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10,INE055A01016,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
500041,"Bannari Amman Sugars Ltd.,",BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,B ,10,INE459A01010,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500042,BASF India Ltd,BASF,BASF INDIA LTD.,Active,A ,10,INE373A01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500043,Bata India Limited,BATAINDIA,BATA INDIA LTD.,Active,A ,5,INE176A01028,Footwear,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
