CODES	521048	
FULLNAME : Advance Lifestyles Ltd
SECTOR : Textiles & Apparels
INDUSTRY : Other Textile Products

***YEARLY***
YPNL: 	Mar-2010	Mar-2011	Mar-2012	Mar-2013	Mar-2014
YSALES: 3.3		2.8		1.1		0.5		0.0
SQoQ%: 	nan		-16.6		-59.6		-54.5		-100.0
YOPM%: 	0.0		5.1		867.9		503.9		0.0
YNPM%: 	108.7		0.0		0.0		47.1		0.0
YPROFIT: 3.6		-0.1		-0.4		0.2		-0.3
PQoQ%: 	nan		-101.7		516.7		-164.9		-225.0



***QUARTERLY***
QPNL: 	Mar-2013	Jun-2013	Sep-2013	Dec-2013	Mar-2014
QSALES: 0.1		62.2		0.0		0.0		0.0
QoQ%: 	nan		88814.3		-100.0		nan		nan
QOPM%: 	185.7		1.8		inf		0.0		0.0
QNPM%: 	0.0		0.0		0.0		0.0		inf
QPFT: 	-0.6		0.0		-0.1		-0.4		0.2
PQoQ%: 	nan		-100.0		-inf		320.0		-150.0



***PROS***


***CONS***
- NEGATIVE YProfit : -0.3
