CODES	531015	
FULLNAME : Venmax Drugs & Pharmaceuticals Ltd
SECTOR : Pharmaceuticals
INDUSTRY : Pharmaceuticals - Indian - Bulk Drugs

***YEARLY***
YPNL: 	Mar-2021	Mar-2022	Mar-2023	Mar-2024	Mar-2025
YSALES: 	0.2		0.0		0.0		0.0		0.8
SQoQ%: 	-63.8		-100.0		nan		nan		inf
YOPM%: 	0.0		0.0		0.0		0.0		0.0
YNPM%: 	0.0		inf		inf		inf		0.0
YPROFIT: 	-0.2		1.8		0.2		0.1		-0.0
PQoQ%: 	-40.7		-1256.2		-87.6		-73.9		-116.7



***QUARTERLY***
QPNL: 	Mar-2024		Jun-2024	Sep-2024	Dec-2024		Mar-2025
QSALES: 	0.0		0.1		0.2		0.2		0.3
QoQ%: 	nan		inf		70.0		17.6		65.0
QOPM%: 	0.0		0.0		0.0		0.0		0.0
QNPM%: 	inf		10.0		0.0		0.0		236.4
QPFT: 	0.0		0.0		-0.3		-0.5		0.8
PQoQ%: 	66.7		-80.0		-3100.0		66.7		-256.0



***PROS***
- RESERVES are increasing at above 15% in the last 3 years with Borrowings are at 0.0


***CONS***
