CODES	532845	TGBHOTELS	
FULLNAME : TGB Banquets & Hotels Ltd
SECTOR : Leisure Services
INDUSTRY : Hotels & Resorts

***YEARLY***
YPNL: 	Mar-2016	Mar-2017	Mar-2018	Mar-2019	Mar-2020
YSALES: 136.5		136.9		118.7		80.8		33.6
SQoQ%: 	-2.3		0.3		-13.2		-32.0		-58.4
YOPM%: 	15.8		17.9		0.0		0.0		0.0
YNPM%: 	0.0		0.0		1.5		0.0		2.6
YPROFIT: -15.2		-6.6		1.8		-54.2		0.9
PQoQ%: 	36.0		-56.6		-126.7		-3165.0		-101.6



***QUARTERLY***
QPNL: 	Jun-2019	Sep-2019	Dec-2019	Mar-2020	Jun-2020
QSALES: 7.4		7.4		9.4		9.4		0.8
QoQ%: 	-64.0		-0.5		26.6		0.0		-91.7
QOPM%: 	9.3		13.6		9.5		0.0		0.0
QNPM%: 	4.7		5.7		5.3		0.0		0.0
QPFT: 	0.4		0.4		0.5		-0.4		-1.9
PQoQ%: 	-100.8		20.0		19.0		-182.0		368.3



***PROS***
- YProfit Turned POSITIVE this year Mar-2020 : 0.9

***CONS***
