CODES	533451	KARMAENG	
FULLNAME : Karma Energy Ltd
SECTOR : Power
INDUSTRY : Power Generation

***YEARLY***
YPNL: 	Mar-2018	Mar-2019	Mar-2020	Mar-2021	Mar-2022
YSALES: 40.3		34.7		41.9		25.3		31.7
SQoQ%: 	23.5		-13.9		20.7		-39.6		25.2
YOPM%: 	29.6		18.0		31.0		0.0		26.1
YNPM%: 	0.0		0.0		0.0		0.0		0.0
YPROFIT: -2.4		-10.0		-0.3		-13.3		-1.6
PQoQ%: 	2950.0		309.0		-97.2		4639.3		-87.8



***QUARTERLY***
QPNL: 	Mar-2021	Jun-2021	Sep-2021	Dec-2021	Mar-2022
QSALES: 2.4		7.2		12.4		10.0		2.0
QoQ%: 	-44.7		193.9		73.4		-19.3		-79.8
QOPM%: 	0.0		10.5		25.2		51.0		0.0
QNPM%: 	0.0		0.0		4.8		22.7		0.0
QPFT: 	-6.9		-1.8		0.6		2.3		-2.7
PQoQ%: 	133.8		-74.0		-133.3		280.0		-218.4



***PROS***

***CONS***
- NEGATIVE YProfit : -1.6
