CODES	523269	ADVANIHOTR	
FULLNAME : Advani Hotels & Resorts (India) Ltd
SECTOR : Leisure Services
INDUSTRY : Hotels & Resorts

***YEARLY***
YPNL: 	Mar-2006	Mar-2007	Mar-2008	Mar-2009	Mar-2010
YSALES: 50.7		63.5		71.5		48.4		31.7
SQoQ%: 	nan		25.2		12.5		-32.2		-34.5
YOPM%: 	25.0		36.5		27.4		0.0		0.0
YNPM%: 	11.1		13.3		13.8		0.0		0.0
YPROFIT: 5.6		8.4		9.8		-0.3		-8.2
PQoQ%: 	nan		49.6		16.4		-102.9		2741.4



***QUARTERLY***
QPNL: 	Mar-2008	Jun-2008	Sep-2008	Dec-2008	Mar-2009
QSALES: 26.0		15.5		10.1		12.2		13.6
QoQ%: 	56.2		-40.4		-34.5		20.7		11.1
QOPM%: 	44.1		18.9		0.0		0.0		8.8
QNPM%: 	32.1		25.4		0.0		14.2		14.8
QPFT: 	8.3		3.9		-4.8		1.7		2.0
PQoQ%: 	444.4		-52.8		-221.4		-136.5		15.5



***PROS***

***CONS***
- NEGATIVE YProfit : -8.2
