TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
A.SARABHAI  ,20231005,39.72,39.72,39.72,39.72,100802
ANDHRA PETRO,20231005,81.48,81.50,78.10,78.51,87590
UTIQUE      ,20231005,6.07,6.21,5.80,6.05,38937
ARUNAHTEL   ,20231005,16.32,16.94,15.47,16.00,12249
ATV PROJECTS,20231005,15.13,15.13,15.13,15.13,42100
BANCO PROD. ,20231005,506.80,507.55,496.60,499.00,16946
BANNARI AMAN,20231005,2628.95,2628.95,2571.20,2583.60,364
BEML LTD    ,20231005,2306.60,2375.00,2305.00,2313.05,5947
BHARAT ELECT,20231005,139.25,141.35,138.20,138.95,388353
BHANSALI ENG,20231005,88.05,94.35,88.05,93.50,141005
BIHAR SPONGE,20231005,11.49,11.49,10.61,11.39,111066
BINANI IND. ,20231005,15.26,15.26,15.26,15.26,17278
DISA INDIA  ,20231005,14059.95,14175.05,13716.00,14000.00,76
QUESTCAP    ,20231005,274.40,274.40,265.55,270.00,213
BPL LTD.    ,20231005,80.60,81.88,79.50,79.97,33341
CENTURY EXT ,20231005,16.99,17.20,16.53,16.59,72821
HIND.PETRO  ,20231005,255.10,260.60,252.20,253.65,284051
IFCI LTD    ,20231005,23.97,24.25,22.63,23.24,7619208
MAHA.TELE   ,20231005,30.01,30.60,29.27,29.56,492858
STATE BANK  ,20231005,590.85,594.40,587.25,592.25,235839
STEEL AUTH. ,20231005,89.54,90.12,88.50,88.62,1104699
IDBI BANK L ,20231005,70.19,70.59,68.31,68.56,562120
DIAMINES&CHM,20231005,535.60,540.00,523.75,526.70,2818
ELANTAS     ,20231005,7998.00,8124.00,7862.00,8062.25,983
FGP LTD.    ,20231005,6.07,6.07,6.07,6.07,101
P.H.CAPITAL ,20231005,72.90,72.90,69.50,69.50,166
COCKERILL   ,20231005,2800.00,2838.00,2781.10,2791.05,1251
UFLEX LTD   ,20231005,452.00,452.00,441.00,445.10,5927
FOSECO INDIA,20231005,3398.10,3398.10,3339.50,3349.25,58
GANESH BENZO,20231005,148.70,151.45,148.70,150.75,21500
METROGLOBL  ,20231005,91.74,91.74,88.50,90.24,10425
KANSAI NERO ,20231005,327.00,327.00,322.05,323.50,12755
GOODRICKE   ,20231005,199.75,202.70,196.00,199.25,9735
GTN INDUS   ,20231005,32.20,32.20,32.11,32.11,2047
GUJ.LEASE   ,20231005,3.36,3.70,3.36,3.70,4446
HCL INFOSYS ,20231005,16.06,16.60,16.00,16.30,96407
HIND.CONSTN.,20231005,27.35,27.99,26.88,27.76,3556236
HIND.OIL EXP,20231005,163.20,164.55,159.95,163.35,122831
HINDUS.ZI   ,20231005,305.95,307.40,302.60,304.80,26278
NDLVENTURE  ,20231005,147.00,147.00,140.50,146.30,3250
HMT LTD.    ,20231005,53.26,53.26,53.26,53.26,8058
PRAG BOSIMI ,20231005,3.09,3.09,2.86,2.95,8533
I.G.PETRO   ,20231005,530.25,530.55,521.30,523.30,2086
IND.GLYCOLS ,20231005,701.35,709.50,698.85,701.70,1844
IND.LEAS.DEV,20231005,7.21,7.21,7.21,7.21,11
MARGO FIN   ,20231005,28.99,33.78,28.85,31.93,15815
INFOSYS LTD ,20231005,1452.10,1474.95,1452.10,1462.45,341800
INGERSOLL   ,20231005,2855.00,2873.60,2823.95,2867.95,873
INTER.TRAVEL,20231005,365.00,384.00,363.00,378.25,16750
AGRO TECH FO,20231005,822.90,824.00,806.00,812.20,22
JAIN IRRIG  ,20231005,62.00,64.26,61.50,63.27,663828
JASCH INDUST,20231005,332.35,332.35,332.35,332.35,103605
JCT LTD     ,20231005,3.00,3.11,2.83,3.04,3983455
JINDAL POLYF,20231005,676.95,694.80,666.10,688.55,5324
JSWSL       ,20231005,760.00,761.00,753.00,755.70,25827
UMANG DAIR  ,20231005,71.81,74.73,70.81,71.30,6690
KAJARIA CER.,20231005,1358.95,1358.95,1324.10,1328.00,4897
KAKATIYA CEM,20231005,220.00,223.10,217.95,221.65,2758
KALYANI STEL,20231005,521.20,525.45,488.35,491.45,20362
KANELIND    ,20231005,1.45,1.52,1.45,1.46,491
KG DENIM    ,20231005,29.45,31.95,28.35,29.75,10021
KINETIC ENG.,20231005,139.75,139.80,137.15,139.25,10546
KIRL.BROS.  ,20231005,845.00,888.00,836.00,883.65,5921
KIRL INDUS  ,20231005,3137.55,3150.00,3124.05,3132.70,4
KIRL.FERROUS,20231005,470.05,479.10,465.00,466.55,6504
ENVAIN ELECT,20231005,233.70,233.70,233.70,233.70,2207
KOTAK MAH.BK,20231005,1730.00,1746.50,1721.60,1734.10,41834
KRIFILIND   ,20231005,4.49,4.49,4.40,4.40,107
L.G.BALKRISH,20231005,1078.95,1078.95,1021.90,1048.10,3063
TRENT LTD.  ,20231005,2062.75,2062.75,2031.70,2046.55,9092
LIC HOUS.FIN,20231005,470.00,474.20,465.50,470.90,51285
LUPIN LTD.  ,20231005,1172.70,1172.70,1143.00,1148.45,10917
HYBRIDFIN   ,20231005,7.93,7.93,7.93,7.93,200
MAFATLAL IND,20231005,158.70,163.50,156.00,163.50,237523
MAH.SEAMLESS,20231005,605.00,620.00,602.40,606.60,8009
MAH.SCOOTER ,20231005,7428.65,7644.95,7428.65,7529.40,235
MAJESTIC AUT,20231005,184.10,188.00,183.65,186.70,3009
MANALI PETRO,20231005,65.35,68.00,64.94,67.68,115395
BARODA RAYON,20231005,168.50,173.30,168.50,170.45,2735
MID INDIA IN,20231005,8.49,8.49,7.87,8.47,6995
