TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME,OI
BANKNIFTY-I,20231005,44350,44550,44280,44411.7,130764,2540265
BANKNIFTY-II,20231005,44600,44825.95,44599.95,44689.95,4807,193245
BANKNIFTY-III,20231005,44912.95,45057,44829.65,44943.85,1244,23130
FINNIFTY-I,20231005,19774.75,19868.95,19760,19800.65,910,54760
FINNIFTY-II,20231005,19778,19929.1,19778,19912.95,21,1120
FINNIFTY-III,20231005,19933,19992.35,19800.05,19800.05,14,360
MIDCPNIFTY-I,20231005,8990.05,9059.95,8971.1,8990.7,3008,441450
MIDCPNIFTY-II,20231005,9035,9088.9,8974,8983.15,22,4425
MIDCPNIFTY-III,20231005,9030.85,9030.85,9030.85,9030.85,2,825
NIFTY-I,20231005,19535,19616.45,19514.5,19568,134410,11072400
NIFTY-II,20231005,19638,19730,19631.6,19689.15,5470,892150
NIFTY-III,20231005,19753.55,19839,19753.55,19798.4,2603,164400
AARTIIND-I,20231005,489.55,492.55,486.5,488.3,1468,13863000
AARTIIND-II,20231005,492.8,495.9,490.05,492.15,141,634000
AARTIIND-III,20231005,497.95,499,495,496.2,33,161000
ABB-I,20231005,4080,4131.7,4021.9,4087.7,1874,1333750
ABB-II,20231005,4092.65,4153.55,4064.2,4120.65,50,26250
ABB-III,20231005,4121,4121,4121,4121,1,500
ABBOTINDIA-I,20231005,22904.9,23059.95,22802,22925.15,269,73760
ABBOTINDIA-II,20231005,23062.15,23135.5,23020,23034.8,10,1080
ABBOTINDIA-III,20231005,0,0,0,22774.15,0,0
ABCAPITAL-I,20231005,176.85,178.45,175.3,176.3,793,38907000
ABCAPITAL-II,20231005,179.1,179.55,176.65,177.55,26,837000
ABCAPITAL-III,20231005,178,178,178,178,1,43200
ABFRL-I,20231005,213.95,219.7,213.8,217.95,3115,29218800
ABFRL-II,20231005,214.45,219.7,214.45,218.1,348,1284400
ABFRL-III,20231005,217.5,220.5,217.5,218.15,7,23400
