TICKERCODE, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
500009,20231006,38.93,40.51,38.93,40.50,294983
500012,20231006,79.89,79.89,77.21,77.34,63178
500014,20231006,6.24,6.24,5.97,6.15,17303
500016,20231006,16.66,16.66,15.75,15.87,19464
500028,20231006,15.43,15.43,15.43,15.43,99973
500039,20231006,499.05,507.85,497.80,501.55,8617
500041,20231006,2596.60,2596.60,2565.00,2573.05,273
500048,20231006,2315.05,2350.00,2280.00,2333.85,10143
500049,20231006,139.40,140.40,138.50,138.95,383013
500052,20231006,93.81,94.40,92.30,93.24,29999
500058,20231006,11.50,11.60,10.95,11.12,142459
500059,20231006,14.99,14.99,14.96,14.96,2710
500068,20231006,13849.95,14163.95,13723.00,13801.20,46
500069,20231006,260.05,266.00,260.05,262.45,589
500074,20231006,81.48,83.50,80.65,82.13,14944
500083,20231006,16.89,16.89,16.40,16.60,22669
500104,20231006,256.60,259.30,253.05,257.65,228765
500106,20231006,24.14,24.66,22.95,24.51,8444881
500108,20231006,29.84,29.87,28.50,28.87,810182
500112,20231006,594.00,598.90,592.25,594.10,607912
500113,20231006,89.76,90.30,88.70,88.80,614508
500116,20231006,69.49,69.90,68.30,69.76,670556
500120,20231006,535.15,535.15,522.85,529.75,3886
500123,20231006,8199.95,8200.00,7787.70,7849.90,1262
500142,20231006,5.77,6.07,5.77,6.07,673
500143,20231006,70.00,72.50,70.00,70.50,506
500147,20231006,2835.00,2878.00,2818.25,2844.75,1415
500148,20231006,450.95,450.95,442.20,444.65,8525
500150,20231006,3370.00,3403.10,3352.00,3388.10,199
500153,20231006,150.00,151.80,149.00,151.25,7773
500159,20231006,91.99,92.90,91.00,92.27,7511
500165,20231006,325.95,326.50,322.95,323.90,14535
500166,20231006,199.95,202.10,197.40,199.35,9549
500170,20231006,32.10,32.49,31.71,32.49,8928
500174,20231006,3.88,3.88,3.53,3.80,2504
500179,20231006,16.12,16.49,16.10,16.22,33977
500185,20231006,27.84,29.00,27.59,28.61,4199113
500186,20231006,163.30,166.50,161.40,162.20,71722
500188,20231006,305.15,306.35,302.35,305.65,59332
500189,20231006,140.50,140.60,140.40,140.60,76
500191,20231006,55.92,55.92,55.92,55.92,6276
500192,20231006,3.01,3.01,2.86,2.95,14714
500199,20231006,524.70,525.25,512.70,515.95,1735
500201,20231006,705.00,723.45,696.10,698.55,9140
500206,20231006,31.93,38.31,29.20,38.29,70039
500209,20231006,1467.80,1484.20,1463.50,1478.55,500258
500210,20231006,2872.95,2964.00,2872.95,2914.65,1491
500213,20231006,380.00,409.00,378.45,399.95,29389
500215,20231006,820.60,838.15,820.60,835.60,879
500219,20231006,62.01,66.80,62.01,65.04,1127385
500223,20231006,3.02,3.09,2.95,3.01,824545
500227,20231006,692.95,704.50,680.95,683.10,12298
500228,20231006,758.95,771.35,758.95,765.25,90760
500231,20231006,73.97,73.99,71.42,72.53,2653
500233,20231006,1335.00,1338.75,1316.55,1319.65,3607
500234,20231006,221.95,225.00,220.80,224.20,303
500235,20231006,491.60,506.05,491.60,497.35,12871
500236,20231006,1.39,1.53,1.39,1.51,8401
500239,20231006,29.75,32.50,29.75,31.14,22474
500240,20231006,136.55,139.85,135.00,136.60,5225
500241,20231006,867.60,920.30,867.60,885.80,8232
500243,20231006,3117.70,3141.95,3101.00,3113.15,309
500245,20231006,466.05,471.85,465.20,467.70,4789
500246,20231006,238.35,238.35,233.75,233.75,4313
500247,20231006,1749.95,1749.95,1731.00,1743.90,238662
500250,20231006,1046.90,1048.00,1011.80,1032.10,1322
500251,20231006,2050.00,2090.95,2050.00,2071.35,8770
500253,20231006,470.95,475.50,466.40,468.35,83763
500257,20231006,1163.95,1165.30,1152.75,1155.55,16014
500262,20231006,8.28,8.28,8.18,8.18,1754
500264,20231006,171.65,171.65,165.00,171.65,691778
500265,20231006,605.00,612.05,596.30,598.30,12406
500266,20231006,7581.40,7749.00,7565.00,7718.05,211
500267,20231006,185.00,192.60,185.00,187.70,2487
500268,20231006,68.29,69.00,67.40,67.98,81399
500270,20231006,171.00,173.40,168.00,170.70,2178
500277,20231006,8.40,8.46,8.20,8.20,5361
500279,20231006,18.93,19.20,17.99,18.15,178490
500280,20231006,423.00,428.25,422.05,424.30,2057
500284,20231006,162.60,165.05,160.50,161.55,2398
500285,20231006,35.39,37.10,35.39,35.98,2420805
500288,20231006,36.17,36.44,35.96,36.16,279267
500290,20231006,107401.00,108038.50,107157.45,107594.65,144
500292,20231006,196.00,197.15,193.10,193.80,16338
500296,20231006,262.70,263.55,258.95,261.00,998
500298,20231006,1102.35,1102.35,1102.35,1102.35,2896
500304,20231006,121.00,122.85,120.00,120.70,48212
500306,20231006,71.15,73.69,71.00,71.60,30502
500307,20231006,411.00,417.50,405.60,410.95,4495
500312,20231006,183.70,183.70,180.60,181.35,155240
500313,20231006,24.59,24.59,24.59,24.59,39624
500314,20231006,87.50,94.10,87.10,93.63,331474
500317,20231006,34.93,35.31,34.79,35.10,9918
500319,20231006,93.75,93.75,90.00,91.47,6003
500322,20231006,13.09,13.09,13.09,13.09,1074
500331,20231006,2429.65,2457.90,2429.60,2453.50,19134
500336,20231006,490.00,523.35,488.70,504.75,43003
500337,20231006,146.90,150.95,144.00,149.55,3051
500346,20231006,47.51,47.51,43.35,45.41,9449
500350,20231006,187.65,192.50,187.65,189.85,5926
500354,20231006,51.99,52.40,50.50,51.05,7129
500355,20231006,215.35,216.00,212.90,214.95,13098
500357,20231006,23.75,23.75,23.75,23.75,1
500358,20231006,4.23,4.66,4.23,4.66,1005
500360,20231006,65.38,67.83,65.00,67.65,15145
500365,20231006,37.00,37.50,36.10,36.97,304300
500366,20231006,2.20,2.31,2.20,2.30,259760
500367,20231006,84.00,84.00,81.15,82.41,39548
500370,20231006,48.02,48.02,48.02,48.02,711
500387,20231006,25766.85,25899.95,25598.25,25781.95,217
500388,20231006,28.35,28.35,28.35,28.35,339
500403,20231006,1255.55,1256.95,1230.00,1234.30,678
500404,20231006,194.75,198.95,191.95,197.60,17768
500405,20231006,520.70,533.00,519.30,525.00,5010
500407,20231006,1979.85,1993.00,1975.70,1993.00,173
500412,20231006,213.05,214.90,210.75,211.40,12766
500414,20231006,155.00,161.75,155.00,159.25,91403
500420,20231006,1864.95,1897.30,1858.55,1894.65,6390
500422,20231006,24.67,28.32,23.79,28.32,118899
500426,20231006,2.12,2.29,2.12,2.29,23241
500429,20231006,162.10,163.85,161.50,162.30,963
500439,20231006,3025.60,3026.05,3005.00,3010.25,17
500444,20231006,707.40,716.95,707.05,710.05,7527
500449,20231006,36.80,36.94,34.12,35.41,409246
500450,20231006,1010.90,1010.90,1010.90,1010.90,290
500456,20231006,40.85,45.65,40.25,44.90,443174
500459,20231006,17808.20,18044.80,17700.00,17858.20,171
500460,20231006,165.10,172.50,165.05,170.40,28300
500464,20231006,135.20,137.95,133.50,137.40,1225
500467,20231006,158.05,161.95,157.70,159.75,6352
500490,20231006,6748.00,6872.05,6711.00,6844.30,1403
500500,20231006,15.49,17.95,15.27,17.73,1527883
500510,20231006,3099.00,3113.95,3073.25,3093.45,267681
500520,20231006,1541.00,1553.95,1540.50,1547.20,57296
500540,20231006,3.50,3.50,3.21,3.39,19023
500547,20231006,344.50,348.95,344.00,347.05,79400
500550,20231006,3520.10,3572.65,3503.85,3531.75,11051
500575,20231006,884.95,887.60,879.40,885.40,28777
500672,20231006,725.55,725.55,720.05,720.40,848
500680,20231006,3900.05,3993.10,3900.05,3989.90,1596
500696,20231006,2510.05,2521.75,2493.65,2498.75,128241
500730,20231006,227.25,227.35,225.45,226.05,16426
500770,20231006,1008.05,1015.15,1005.30,1013.05,28395
500777,20231006,93.45,93.50,90.80,91.13,10198
500790,20231006,22960.00,23061.90,22812.45,22915.95,1871
500850,20231006,419.95,424.75,418.30,422.95,59671
500875,20231006,436.10,443.55,436.10,442.20,499227
500890,20231006,78.81,78.81,78.81,78.81,1578
501148,20231006,283.05,294.30,283.05,294.30,181
501295,20231006,109.90,110.00,105.10,108.95,1380
501298,20231006,3945.00,3945.00,3651.00,3750.00,104
501301,20231006,3418.95,3418.95,3276.80,3307.95,6897
501314,20231006,1.66,1.66,1.66,1.66,118237
501343,20231006,31.80,31.80,31.80,31.80,780
501351,20231006,96.36,96.36,96.36,96.36,19
501370,20231006,179.65,179.65,170.55,178.15,785
501386,20231006,5.19,5.19,5.19,5.19,600
501391,20231006,412.50,423.95,392.05,413.05,1764
501421,20231006,186.00,195.00,186.00,195.00,51
501423,20231006,1884.00,1890.00,1800.25,1814.30,272
501425,20231006,1238.95,1260.00,1224.05,1241.95,6392
501430,20231006,1110.85,1110.85,1033.25,1088.20,364
501700,20231006,25.08,27.70,25.08,27.70,67597
