TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
NSENIFTY,20231006,19621.2,19675.75,19589.4,19653.5,159051277
Nifty Next 50,20231006,44886.4,44987.05,44780.2,44950.4,230503103
NSE100,20231006,19554.4,19606.05,19524.7,19584.45,390795777
NIFTY200,20231006,10487,10514.9,10470.5,10503.75,958034409
NSE500,20231006,17263.35,17310.1,17237.1,17293.6,2240980304
NIFTYMIDCAP50,20231006,11505.4,11548.5,11474.6,11543.7,256705766
NSEMIDCAP,20231006,40207,40319.35,40123.85,40284.7,567238632
NSESMLCAP100,20231006,12772.8,12849.65,12731.5,12837.1,751814345
Nifty50 Dividend Points,20231006,-,-,-,148.23,-
NIFTYAUTO,20231006,16025.2,16039.8,15966.4,15990.65,21802558
BANKNIFTY,20231006,44395.4,44500.7,44242.95,44360.6,157546711
NIFTYENERGY,20231006,26768.8,26805.45,26664.3,26731.65,48711457
NIFTYFINSERVICE,20231006,19759.85,19856.75,19714.75,19818.2,84295901
NIFTYFMGC,20231006,51488.95,51725.4,51359.15,51577.9,17048367
NSEIT,20231006,32251.45,32438.4,32098.8,32341.7,13964599
NIFTYMEDIA,20231006,2296.65,2304.35,2282.55,2286.75,56146052
NIFTYMETAL,20231006,6752.55,6792.35,6719.7,6744.4,66849583
NIFTYMNC,20231006,21972.65,22016.4,21915.65,21989.6,16527696
NIFTYPHARMA,20231006,15086.8,15161.65,15082.05,15128.45,13415779
NIFTYPSUBANK,20231006,5224.75,5267.5,5181.25,5218.25,327663598
NIFTYREALTY,20231006,571.9,588.7,571.9,587.5,16788587
NIFTYCONSUMPTION,20231006,8474.95,8493.05,8456,8485.6,40866954
NIFTYCOMMODITIES,20231006,6367.5,6377.9,6340.2,6363.0,96702156
Nifty Dividend Opportunities 50,20231006,4590.45,4605.95,4572.65,4597.7,268206643
NIFTYINFRA,20231006,6231.5,6236.1,6205.95,6230.2,92699429
NIFTYPSE,20231006,5885.75,5910.7,5855.55,5893.2,133034588
NIFTYSERVSECTOR,20231006,25169.8,25265.05,25119.25,25231.95,106913214
Nifty50 Shariah,20231006,-,-,-,4193.07,53164415
Nifty500 Shariah,20231006,-,-,-,5739.34,398118385
Nifty Low Volatility 50,20231006,-,-,-,18288.17,104983156
Nifty Alpha 50,20231006,36248.5,36419.6,36098.9,36326.8,608898639
Nifty High Beta 50,20231006,-,-,-,2919.34,709293105
Nifty100 Equal Weight,20231006,23064.2,23132.4,23032.8,23109.85,390795777
Nifty100 Liquid 15,20231006,5279.6,5309.45,5272.7,5303.7,60675851
NIFTYCPSE,20231006,3822.4,3825.9,3793.8,3813.7,117333581
Nifty50 Value 20,20231006,10378.95,10418.2,10343.65,10399.25,85285564
NIFTYMIDCAPLIQ15,20231006,9418.95,9484.35,9378.1,9480.95,68954522
Nifty Shariah 25,20231006,-,-,-,6756.59,48896589
INDIAVIX,20231006,10.94,10.94,9.73,10.3,-
Nifty Growth Sectors 15,20231006,9906.05,9958.8,9889.85,9946.35,31021749
Nifty50 TR 1x Inverse,20231006,201.75,202.1,201.2,201.4,-
Nifty50 TR 2x Leverage,20231006,14025.7,14102.2,13980.85,14071.75,-
Nifty50 PR 1x Inverse,20231006,240.25,240.6,239.55,239.85,-
Nifty50 PR 2x Leverage,20231006,9871.25,9925.1,9839.7,9903.65,-
NIFTY100 Quality 30,20231006,4442.1,4445.05,4427.95,4437.8,45074430
Nifty Mahindra Group,20231006,-,-,-,21390.95,10950400
Nifty 50 Futures TR Index,20231006,-,-,-,21022.03,-
Nifty Tata Group,20231006,-,-,-,15073.14,53235483
Nifty Tata Group 25% Cap,20231006,-,-,-,12443.56,41365276
NIFTYPVTBANK,20231006,22948.1,23013.35,22870.7,22971.75,82284831
NIFTYSMALLCAP250,20231006,12277.45,12329.45,12249.05,12316.75,1207083792
NIFTYSMALLCAP50,20231006,5906.3,5939.35,5885.7,5921.4,552246629
Nifty MidSmallcap 400,20231006,14065.85,14111.25,14037,14099.4,1850184527
