TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME, OI
20MICRONS,20231006, 154.45, 161.95, 152.10, 157.65, 180785, -
21STCENMGM,20231006, 19.50, 19.75, 19.15, 19.20, 6299, 5166
360ONE,20231006, 496.65, 509.80, 496.40, 507.70, 471369, 343094
3IINFOLTD,20231006, 41.45, 41.80, 40.80, 41.25, 672416, 285385
3MINDIA,20231006, 30950.00, 31399.75, 30850.00, 31150.10, 1739, 379
3PLAND,20231006, 29.00, 29.00, 28.95, 28.95, 34532, 31531
5PAISA,20231006, 433.20, 436.75, 425.15, 429.10, 45726, 17788
63MOONS,20231006, 272.00, 275.25, 261.75, 264.25, 116442, 62756
A2ZINFRA,20231006, 9.85, 9.85, 9.45, 9.55, 99431, -
AAATECH,20231006, 58.90, 58.90, 57.30, 57.90, 27789, 15791
AAKASH,20231006, 5.90, 5.90, 5.80, 5.85, 16678, -
AAREYDRUGS,20231006, 45.20, 46.85, 44.60, 44.85, 52739, -
AARON,20231006, 284.65, 284.65, 259.00, 264.15, 6596, -
AARTECH,20231006, 166.45, 173.00, 162.30, 171.30, 18779, -
AARTIDRUGS,20231006, 525.25, 531.60, 521.00, 523.40, 138393, 43958
AARTIIND,20231006, 489.00, 490.90, 484.05, 488.60, 717026, 375429
AARTIPHARM,20231006, 431.00, 448.85, 423.30, 424.45, 217745, 119134
AARTIPP,20231006, 302.95, 313.00, 302.95, 313.00, 83, 83
AARTISURF,20231006, 642.65, 642.65, 625.95, 627.30, 4710, 3027
AARVEEDEN,20231006, 23.10, 24.35, 23.10, 24.00, 11959, 7826
AARVI,20231006, 127.90, 136.10, 126.15, 131.70, 128294, 74440
AATMAJ,20231006, 46.00, 46.30, 45.00, 46.10, 42000, 32000
AAVAS,20231006, 1754.95, 1772.00, 1718.65, 1725.60, 128151, 70705
ABAN,20231006, 45.95, 47.15, 45.00, 45.30, 128641, 77630
ABB,20231006, 4080.05, 4145.00, 4068.00, 4133.10, 207353, 97454
ABBOTINDIA,20231006, 22899.00, 23118.00, 22829.95, 23036.40, 5532, 2619
ABCAPITAL,20231006, 175.90, 182.15, 175.75, 181.50, 3983093, 1699314
ABCOTS,20231006, 94.00, 94.20, 94.00, 94.20, 8000, 8000
ABFRL,20231006, 221.00, 221.65, 218.10, 219.00, 1073409, 295885
ABMINTLLTD,20231006, 35.30, 35.30, 35.30, 35.30, 13, -
ABSLAMC,20231006, 437.20, 437.70, 429.00, 433.90, 133711, 81435
ABSLLIQUID,20231006, 1000.00, 1000.01, 1000.00, 1000.00, 7275, 5476
ACC,20231006, 1997.25, 2021.70, 1997.25, 2009.95, 153026, 61000
ACCELYA,20231006, 1618.50, 1693.00, 1588.05, 1679.75, 94263, 33148
ACCURACY,20231006, 8.30, 8.50, 8.20, 8.50, 378262, -
ACE,20231006, 694.95, 723.00, 687.00, 711.90, 373799, 146598
ACEINTEG,20231006, 36.45, 36.45, 34.00, 35.25, 807, 394
ACI,20231006, 599.50, 604.95, 586.05, 587.50, 154870, 93938
ACL,20231006, 98.50, 99.80, 97.05, 98.50, 24943, 17880
ADANIENSOL,20231006, 810.35, 815.90, 804.50, 806.00, 265517, 115724
ADANIENT,20231006, 2466.35, 2514.95, 2466.05, 2478.10, 1510035, 335015
ADANIGREEN,20231006, 965.00, 968.95, 958.55, 961.25, 359021, 175342
ADANIPORTS,20231006, 830.00, 836.50, 826.40, 830.75, 1877058, 733167
ADANIPOWER,20231006, 366.40, 371.00, 363.00, 364.30, 2349309, 846453
ADFFOODS,20231006, 212.50, 214.95, 211.40, 214.30, 60263, 30466
ADL,20231006, 74.60, 80.00, 74.60, 79.40, 2704, -
ADORWELD,20231006, 1110.00, 1115.95, 1100.00, 1108.60, 8671, 5027
ADROITINFO,20231006, 23.90, 23.90, 21.90, 22.55, 161126, 124392
ADSL,20231006, 127.40, 128.55, 125.90, 126.40, 136858, 63836
ADVANIHOTR,20231006, 98.45, 99.10, 96.10, 96.90, 258649, 122085
ADVENZYMES,20231006, 328.00, 331.70, 323.50, 325.50, 133322, 71145
AEGISCHEM,20231006, 330.90, 332.00, 325.80, 326.85, 141079, 72228
AEROFLEX,20231006, 148.40, 148.95, 146.20, 146.65, 450908, 284131
AETHER,20231006, 970.00, 970.00, 960.00, 961.90, 16863, 9662
AFFLE,20231006, 1070.00, 1099.00, 1070.00, 1092.95, 212894, 132939
AGARIND,20231006, 889.70, 940.00, 883.35, 922.20, 114377, 30379
AGARWALFT,20231006, 43.30, 43.30, 43.30, 43.30, 6000, 6000
AGI,20231006, 934.70, 963.00, 933.85, 945.85, 262933, 60927
AGRITECH,20231006, 180.10, 189.10, 180.10, 187.95, 6239, -
AGROPHOS,20231006, 38.60, 38.80, 38.40, 38.60, 27377, 21717
AGSTRA,20231006, 62.45, 62.60, 61.10, 61.85, 225214, 114114
AGUL,20231006, 63.00, 65.00, 63.00, 65.00, 10000, 6000
AHL,20231006, 348.00, 351.65, 346.05, 350.15, 1198945, 170591
AHLADA,20231006, 112.40, 131.75, 111.80, 123.15, 509550, 169592
AHLEAST,20231006, 137.45, 142.90, 137.45, 140.95, 5879, 3858
AHLUCONT,20231006, 713.70, 740.40, 710.20, 730.10, 116857, 38701
AIAENG,20231006, 3457.00, 3457.00, 3406.00, 3440.15, 48245, 30077
AIRAN,20231006, 24.55, 25.10, 24.15, 24.45, 157680, -
AIROLAM,20231006, 112.05, 116.90, 111.15, 115.40, 8379, -
AISL,20231006, 60.25, 60.25, 59.20, 59.20, 4800, 4800
AJANTPHARM,20231006, 1759.55, 1766.45, 1741.85, 1747.45, 163758, 125722
AJMERA,20231006, 375.00, 397.45, 371.55, 390.65, 164139, 61583
AJOONI,20231006, 4.50, 4.70, 4.45, 4.60, 481678, 335983
AKASH,20231006, 30.95, 30.95, 29.20, 29.85, 15400, 10557
AKG,20231006, 23.90, 23.90, 23.10, 23.45, 48161, 15103
AKI,20231006, 12.80, 12.80, 12.80, 12.80, 4065, -
AKSHAR,20231006, 6.50, 6.50, 6.10, 6.35, 19811, -
AKSHARCHEM,20231006, 280.50, 285.00, 276.05, 279.85, 5908, 3627
AKSHOPTFBR,20231006, 11.20, 11.45, 11.05, 11.20, 308324, -
AKZOINDIA,20231006, 2492.00, 2549.55, 2492.00, 2507.85, 9268, 4494
ALANKIT,20231006, 11.85, 11.90, 11.40, 11.55, 1996873, 1371571
ALBERTDAVD,20231006, 842.00, 856.95, 835.00, 839.40, 28636, 14774
ALEMBICLTD,20231006, 77.30, 77.75, 76.80, 77.10, 179911, 79759
ALICON,20231006, 854.00, 859.95, 840.00, 849.20, 9003, 4690
ALKALI,20231006, 111.50, 116.60, 111.00, 116.45, 151892, 79932
ALKEM,20231006, 3457.50, 3535.00, 3457.50, 3522.50, 259891, 178550
ALKYLAMINE,20231006, 2310.00, 2316.00, 2297.20, 2309.30, 18215, 7462
ALLCARGO,20231006, 273.50, 275.00, 271.10, 272.35, 117181, 70653
ALLETEC,20231006, 172.00, 178.85, 169.00, 172.75, 72000, 38400
ALLSEC,20231006, 612.45, 612.45, 602.00, 607.50, 18422, 12222
ALMONDZ,20231006, 85.10, 86.80, 84.20, 85.45, 12947, 7585
ALOKINDS,20231006, 18.50, 18.90, 18.30, 18.70, 8722732, 2446634
ALPA,20231006, 76.75, 79.20, 73.80, 75.40, 221542, 130913
ALPHAGEO,20231006, 289.85, 292.65, 286.00, 288.80, 9866, 6239
ALPSINDUS,20231006, 2.50, 2.50, 2.30, 2.30, 66489, -
AMARAJABAT,20231006, 645.00, 646.05, 640.00, 644.55, 325211, 182891
AMBANIORG,20231006, 116.00, 118.00, 114.50, 115.30, 20000, 14000
AMBER,20231006, 2944.00, 2964.70, 2895.00, 2920.90, 73303, 50156
AMBICAAGAR,20231006, 31.45, 31.50, 31.10, 31.50, 3456, -
AMBIKCO,20231006, 1525.60, 1537.55, 1514.60, 1529.95, 6745, 4490
AMBUJACEM,20231006, 434.00, 437.00, 431.80, 435.70, 1547935, 756835
AMDIND,20231006, 56.70, 56.70, 54.55, 55.45, 30211, 11459
AMEYA,20231006, 49.70, 49.70, 49.70, 49.70, 4000, 4000
AMIORG,20231006, 1185.95, 1202.95, 1181.65, 1196.80, 47977, 23570
AMJLAND,20231006, 30.90, 31.40, 30.60, 31.10, 28870, 19330
AMRUTANJAN,20231006, 617.50, 621.25, 610.75, 615.25, 19504, 8372
ANANDRATHI,20231006, 1807.00, 1834.90, 1771.00, 1819.65, 110414, 57843
ANANTRAJ,20231006, 237.00, 237.60, 232.25, 234.20, 1229040, 734189
ANDHRAPAP,20231006, 601.55, 601.55, 586.05, 587.90, 138514, 66839
ANDHRSUGAR,20231006, 117.90, 119.90, 116.70, 117.45, 226643, 96980
ANDREWYU,20231006, 33.90, 34.70, 33.30, 33.55, 625006, 241616
ANGELONE,20231006, 2001.00, 2042.95, 1960.00, 1977.65, 1264162, 329471
ANIKINDS,20231006, 37.60, 38.80, 37.60, 38.45, 16099, -
ANKITMETAL,20231006, 5.00, 5.00, 5.00, 5.00, 12330, -
ANLON,20231006, 306.00, 306.00, 306.00, 306.00, 3600, 3600
ANMOL,20231006, 42.80, 43.55, 42.10, 43.05, 106141, -
ANNAPURNA,20231006, 280.00, 283.95, 275.05, 282.00, 109000, 77000
ANTGRAPHIC,20231006, 0.75, 0.80, 0.75, 0.75, 178197, -
ANUP,20231006, 1980.00, 2020.00, 1947.00, 2002.80, 18836, 10739
ANURAS,20231006, 903.25, 904.70, 887.00, 891.05, 111019, 40055
APARINDS,20231006, 5422.00, 5449.00, 5367.90, 5438.40, 51194, 20927
APCL,20231006, 182.00, 185.10, 182.00, 183.15, 9422, 5674
APCOTEXIND,20231006, 510.00, 510.00, 497.35, 500.60, 29052, 19061
APEX,20231006, 223.00, 226.00, 221.55, 224.40, 65040, 30484
APLAPOLLO,20231006, 1616.80, 1640.75, 1605.00, 1619.30, 394310, 221856
APLLTD,20231006, 775.90, 787.30, 770.45, 772.85, 621193, 570305
APOLLO,20231006, 72.00, 74.50, 66.25, 66.70, 9636116, 3322794
APOLLOHOSP,20231006, 5050.00, 5084.00, 5028.80, 5060.25, 407753, 258522
